road,link_start,link_end,chainage_start,chainage_end,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
Z5503,LRPS,LRP004,0.0,3.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5503,LRP004,LRP010,3.455,9.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5503,LRP010,LRP020,9.905,19.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5503,LRP020,LRPE,19.69,21.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5504,LRPS,LRP007,0.0,7.274,0.0,417.0,243.0,0.0,213.0,57.0,48.0,30.0,1944.0,2538.0,2295.0,2493.0,0.0,5490.0,4788.0,10278.0,10278.0
Z5505,LRPS,LRPS,0.0,9.408,0.0,252.0,306.0,24.0,42.0,171.0,15.0,81.0,5061.0,2499.0,1620.0,1575.0,0.0,8451.0,3195.0,11646.0,11646.0
Z5507,LRPS,LRP008,0.0,9.63,48.0,366.0,270.0,3.0,3.0,96.0,24.0,54.0,2961.0,2964.0,3102.0,3030.0,0.0,6789.0,6132.0,12921.0,12921.0
Z5508,LRPS,LRP002,0.0,1.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5508,LRP002,LRP011,1.564,10.496,0.0,22.0,26.0,1.0,15.0,72.0,43.0,32.0,628.0,686.0,677.0,820.0,0.0,1525.0,1497.0,3022.0,3022.0
Z5508,LRP011,LRP017,10.496,15.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5508,LRP017,LRPE,15.546,18.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5509,LRPS,LRP011,0.0,10.44,0.0,450.0,423.0,0.0,153.0,84.0,12.0,12.0,1218.0,2895.0,2535.0,1635.0,0.0,5247.0,4170.0,9417.0,9417.0
Z5509,LRP011,LRP028,10.44,26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5509,LRP028,LRPE,26.73,31.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5551,LRPS,LRP008,0.0,7.0,0.0,6.0,33.0,0.0,0.0,3.0,0.0,0.0,1623.0,1302.0,2271.0,2088.0,0.0,2967.0,4359.0,7326.0,7326.0
Z5552,LRPS,LRP021,0.0,28.5,0.0,141.0,408.0,15.0,12.0,48.0,87.0,57.0,5091.0,3897.0,3324.0,2463.0,0.0,9756.0,5787.0,15543.0,15543.0
Z5553,LRPS,LRPS,0.0,11.19,6.0,279.0,261.0,99.0,45.0,144.0,129.0,180.0,6960.0,5358.0,7032.0,14316.0,0.0,13461.0,21348.0,34809.0,34809.0
Z5554,LRPS,LRP003,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5554,LRP003,LRPE,2.9,29.46,0.0,8.0,12.0,0.0,0.0,1.0,7.0,6.0,633.0,431.0,486.0,560.0,10.0,1098.0,1056.0,2154.0,2154.0
Z5555,LRPS,LRPS,0.0,5.41,6.0,570.0,714.0,0.0,9.0,123.0,63.0,78.0,6168.0,6096.0,5853.0,5022.0,0.0,13827.0,10875.0,24702.0,24702.0
Z5555,LRPS,LRPS,5.41,7.15,2.0,190.0,238.0,0.0,3.0,41.0,21.0,26.0,2056.0,2032.0,1951.0,1674.0,0.0,4609.0,3625.0,8234.0,8234.0
Z5558,LRPS,LRPS,0.0,1.95,0.0,960.0,606.0,0.0,24.0,39.0,66.0,9.0,885.0,1533.0,1614.0,1254.0,0.0,4122.0,2868.0,6990.0,6990.0
Z5559,LRPS,LRPS,0.0,1.2,0.0,960.0,606.0,0.0,24.0,39.0,66.0,9.0,885.0,1533.0,1614.0,1254.0,0.0,4122.0,2868.0,6990.0,6990.0
Z5561,LRPS,LRP016,0.0,17.35,0.0,309.0,318.0,3.0,69.0,219.0,90.0,69.0,1386.0,3024.0,4542.0,2250.0,0.0,5487.0,6792.0,12279.0,12279.0
Z5611,LRPS,LRP011,0.0,10.45,0.0,381.0,504.0,0.0,78.0,279.0,51.0,51.0,1854.0,3753.0,3636.0,978.0,0.0,6951.0,4614.0,11565.0,11565.0
Z5612,LRPS,LRP003,0.0,9.25,0.0,333.0,624.0,36.0,15.0,126.0,120.0,99.0,3060.0,4992.0,6333.0,3387.0,24.0,9405.0,9744.0,19149.0,19149.0
Z5613,LRPS,LRP007,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5613,LRP007,LRP020,7.7,19.908,46.0,194.0,215.0,69.0,71.0,174.0,52.0,105.0,1654.0,1414.0,1284.0,830.0,0.0,3994.0,2114.0,6108.0,6108.0
Z5613,LRP020,LRP059,19.908,59.146,30.0,139.0,278.0,32.0,64.0,112.0,103.0,135.0,1083.0,1567.0,2012.0,1213.0,0.0,3543.0,3225.0,6768.0,6768.0
Z5614,LRPS,LRP007,0.0,7.48,0.0,72.0,387.0,12.0,0.0,69.0,33.0,51.0,2100.0,4275.0,4233.0,1005.0,6.0,6999.0,5244.0,12243.0,12243.0
Z5616,LRPS,LRP016,0.0,16.95,0.0,450.0,315.0,0.0,0.0,111.0,15.0,21.0,2988.0,3621.0,3900.0,2712.0,33.0,7521.0,6645.0,14166.0,14166.0
Z5616,LRP016,LRPE,16.95,18.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5617,LRPS,LRP016,0.0,16.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5617,LRP016,LRP018,16.385,18.93,0.0,59.0,53.0,0.0,0.0,0.0,0.0,0.0,270.0,369.0,333.0,241.0,11.0,751.0,585.0,1336.0,1336.0
Z5621,LRPS,LRP018,0.0,18.83,0.0,57.0,93.0,174.0,129.0,63.0,57.0,30.0,3105.0,3810.0,4083.0,1065.0,18.0,7518.0,5166.0,12684.0,12684.0
Z5621,LRP018,LRP027,18.83,29.98,0.0,20.0,31.0,57.0,43.0,33.0,19.0,10.0,1044.0,636.0,689.0,195.0,1.0,1893.0,885.0,2778.0,2778.0
Z5622,LRPS,LRP021,0.0,22.227,0.0,444.0,480.0,390.0,264.0,264.0,105.0,87.0,3594.0,3948.0,3690.0,3675.0,45.0,9576.0,7410.0,16986.0,16986.0
Z5622,LRP021,LRP038,22.227,39.519,0.0,175.0,333.0,71.0,150.0,118.0,10.0,50.0,1370.0,2101.0,1965.0,1292.0,13.0,4378.0,3270.0,7648.0,7648.0
Z5623,LRPS,LRP017,0.0,17.639,276.0,246.0,363.0,216.0,234.0,249.0,69.0,114.0,10290.0,13266.0,15789.0,10848.0,120.0,25323.0,26757.0,52080.0,52080.0
Z5624,LRPS,LRP046,0.0,49.617,0.0,594.0,567.0,0.0,123.0,93.0,42.0,36.0,3249.0,3780.0,2985.0,1827.0,36.0,8484.0,4848.0,13332.0,13332.0
Z5701,LRPS,LRP002,0.0,1.818,6.0,663.0,315.0,0.0,231.0,174.0,198.0,63.0,2094.0,3567.0,4584.0,3519.0,0.0,7311.0,8103.0,15414.0,15414.0
Z5701,LRP002,LRP014,1.818,13.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5701,LRP014,LRP020,13.519,21.02,0.0,134.0,74.0,26.0,59.0,66.0,30.0,27.0,437.0,854.0,620.0,444.0,0.0,1707.0,1064.0,2771.0,2771.0
Z5703,LRPS,LRP021,0.0,21.63,0.0,1440.0,390.0,285.0,147.0,345.0,93.0,48.0,804.0,1638.0,972.0,846.0,0.0,5190.0,1818.0,7008.0,7008.0
Z5703,LRP021,LRPE,21.63,28.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5704,LRPS,LRP008,0.0,7.89,0.0,1440.0,390.0,285.0,147.0,345.0,93.0,48.0,804.0,1638.0,972.0,846.0,0.0,5190.0,1818.0,7008.0,7008.0
Z5706,LRPS,LRP001,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5706,LRP001,LRP023,3.77,28.8,0.0,39.0,29.0,0.0,17.0,20.0,34.0,6.0,652.0,966.0,1332.0,637.0,0.0,1763.0,1969.0,3732.0,3732.0
Z5707,LRPS,LRPS,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5707,LRPS,LRP003,0.74,4.039,75.0,128.0,120.0,115.0,49.0,56.0,18.0,19.0,294.0,1307.0,1845.0,542.0,0.0,2181.0,2387.0,4568.0,4568.0
Z5707,LRP003,LRP021,4.039,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5709,LRPS,LRP003,0.0,3.26,9.0,405.0,324.0,0.0,0.0,66.0,12.0,39.0,435.0,1827.0,4218.0,1011.0,0.0,3117.0,5229.0,8346.0,8346.0
Z5709,LRP003,LRPE,3.26,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z5801,LRPS,LRPS,0.0,1.05,0.0,18.0,90.0,0.0,0.0,3.0,12.0,3.0,768.0,858.0,780.0,699.0,0.0,1752.0,1479.0,3231.0,3231.0
Z5802,LRPS,LRP010,0.0,13.24,0.0,321.0,399.0,15.0,9.0,369.0,369.0,285.0,6291.0,14316.0,13326.0,7836.0,3.0,22374.0,21165.0,43539.0,43539.0
Z5803,LRPS,LRP011,0.0,11.11,3.0,228.0,639.0,0.0,45.0,0.0,0.0,219.0,2475.0,7455.0,7830.0,2514.0,0.0,11064.0,10344.0,21408.0,21408.0
Z5804,LRPS,LRP015,0.0,14.99,0.0,63.0,273.0,0.0,0.0,51.0,27.0,9.0,969.0,3558.0,5988.0,3633.0,6.0,4950.0,9627.0,14577.0,14577.0
Z5804,LRP015,LRP015,14.99,16.45,0.0,21.0,91.0,0.0,0.0,17.0,9.0,3.0,323.0,1186.0,1996.0,1211.0,2.0,1650.0,3209.0,4859.0,4859.0
